Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
NNIFRA,Nepal Infrastructure...,0,6.32,6.32,"Sep 5, 2025","Nov 28, 2025",2081/2082
EBL,Everest Bank Limited,6,14.00,20.00,"Sep 4, 2025","Oct 10, 2025",2081/2082
MNBBL,Muktinath Bikas Bank...,13.53,4.67,18.20,"Sep 18, 2025","Oct 17, 2025",2081/2082
NNABILINV,Nabil Investment Ban...,25,1.32,26.32,"Sep 18, 2025","Sep 28, 2025",2081/2082
UPCL,UNIVERSAL POWER COMP...,9,0.47,9.47,"Sep 15, 2025","Sep 24, 2025",2081/2082
GGBIMEL,Global IME Capital L...,0,20.00,20.00,"Sep 7, 2025",Not Announced,2081/2082
KSBBL,Kamana Sewa Bikas Ba...,10,5.79,15.79,"Sep 7, 2025","Sep 24, 2025",2081/2082
MMuktinathCap,Muktinath Capital Li...,0,9.00,9.00,"Sep 5, 2025",Not Announced,2081/2082
NNBF2,NABIL BALANCED FUND-...,0,13.00,13.00,"Aug 29, 2025","Sep 7, 2025",2081/2082
MMBL,Machhapuchhre Bank L...,4,4.00,8.00,"Aug 29, 2025","Sep 12, 2025",2081/2082
MSHL,Mid Solu Hydropower ...,15,0.79,15.79,"Aug 28, 2025",Not Announced,2081/2082
AAELTD,Aashutosh Energy Lim...,0,15.79,15.79,"Aug 28, 2025","Sep 9, 2025",2081/2082
NIBSF2,NIBL Samriddhi Fund ...,0,7.00,7.00,"Sep 4, 2025","Sep 12, 2025",2081/2082
MMF1,Mega Mutual Fund -1,0,11.75,11.75,"Sep 4, 2025","Sep 12, 2025",2081/2082
NIBLGF,NIBL Growth Fund,0,10.00,10.00,"Sep 4, 2025","Sep 12, 2025",2081/2082
SSIDCL,Siddhartha Capital L...,0,30.00,30.00,"Sep 4, 2025",Not Announced,2081/2082
H8020,Himalayan 80-20,0,16.16,16.16,"Aug 31, 2025","Sep 12, 2025",2081/2082
NBF3,Nabil Balanced Fund-...,0,13.00,13.00,"Aug 29, 2025","Sep 7, 2025",2081/2082
NBF2,NABIL BALANCED FUND-...,0,13.00,13.00,"Aug 29, 2025","Sep 7, 2025",2081/2082
MBL,Machhapuchhre Bank L...,4,4.00,8.00,"Aug 29, 2025","Sep 12, 2025",2081/2082
CCMF2,CITIZENS MUTUAL FUND...,0,8.25,8.25,"Aug 18, 2025","Aug 29, 2025",2081/2082
KKCL,Kumari Capital Limit...,0,17.00,17.00,"Aug 15, 2025",Not Announced,2081/2082
HHHEL,Hilton Hydro Energy ...,0,5.26,5.26,"Aug 28, 2025","Sep 9, 2025",2081/2082
SSRL,Snow Rivers Limited,0,4.21,4.21,"Aug 28, 2025","Sep 9, 2025",2081/2082
GIBF1,Global IME Balanced ...,0,12.00,12.00,"Aug 26, 2025","Sep 12, 2025",2081/2082
VVHPL,Venture Hire Purchas...,0,10.00,10.00,"Aug 21, 2025",Not Announced,2081/2082
HATHY,Hathway Investment N...,12,0.63,12.63,"Aug 19, 2025","Aug 29, 2025",2081/2082
NSIF2,NMB Sulav Investment...,0,15.00,15.00,"Aug 19, 2025","Aug 29, 2025",2081/2082
NMB50,NMB 50,0,15.00,15.00,"Aug 19, 2025","Aug 29, 2025",2081/2082
KKDBY,Kumari Dhanabriddhi ...,0,10.50,10.50,"Aug 14, 2025","Aug 25, 2025",2081/2082
KEF,Kumari Equity Fund,0,11.50,11.50,"Aug 14, 2025","Aug 25, 2025",2081/2082
SIGS3,Siddhartha Investmen...,0,17.00,17.00,"Aug 11, 2025","Aug 22, 2025",2081/2082
SAGF,Sanima Growth Fund,0,15.79,15.79,"Aug 15, 2025","Aug 22, 2025",2081/2082
SLCF,Sanima Large Cap Fun...,0,21.05,21.05,"Aug 15, 2025","Aug 22, 2025",2081/2082
PSF,Prabhu Select Fund,0,12.00,12.00,"Aug 15, 2025","Aug 31, 2025",2081/2082
PRSF,Prabhu Smart Fund,0,10.00,10.00,"Aug 15, 2025","Aug 31, 2025",2081/2082
RMF2,RBB Mutual Fund 2,0,13.00,13.00,"Aug 15, 2025","Aug 25, 2025",2081/2082
RMF1,RBB Mutual Fund 1,0,20.00,20.00,"Aug 15, 2025","Aug 25, 2025",2081/2082
KSY,Kumari Sabal Yojana,0,9.00,9.00,"Aug 14, 2025","Aug 25, 2025",2081/2082
KDBY,Kumari Dhanabriddhi ...,0,10.50,10.50,"Aug 14, 2025","Aug 25, 2025",2081/2082
LLUK,Laxmi Unnati Kosh,0,20.00,20.00,"Aug 6, 2025","Aug 19, 2025",2081/2082
MNMF1,Muktinath Mutual Fun...,0,3.80,3.80,"Aug 6, 2025","Aug 15, 2025",2081/2082
SIGS2,Siddhartha Investmen...,0,20.00,20.00,"Aug 11, 2025","Aug 22, 2025",2081/2082
SEF,Siddhartha Equity Fu...,0,20.00,20.00,"Aug 11, 2025","Aug 22, 2025",2081/2082
SIKLES,Sikles Hydropower Li...,15,0.79,15.79,"Aug 11, 2025",Not Announced,2081/2082
NNFCF,Nabil Flexi Cap Fund,0,9.00,9.00,"Aug 8, 2025","Aug 8, 2025",2081/2082
NNIBLSF,NIBL Sahabhagita Fun...,0,7.00,7.00,"Aug 8, 2025","Jul 21, 2025",2081/2082
GGSY,Garima Samriddhi Yoj...,0,5.10,5.10,"Aug 1, 2025","Aug 12, 2025",2081/2082
KKSLY,Kumari Sunaulo Lagan...,0,8.88,8.88,"Jul 30, 2025","Jul 29, 2025",2081/2082
SSLTD,Sanima Limited,0,5.75,5.75,"Jul 29, 2025",Not Announced,2081/2082
SSSIS,Siddhartha Systemati...,0,8.00,8.00,"Jul 28, 2025","Jul 27, 2025",2081/2082
LVF2,Laxmi Value Fund 2,0,15.00,15.00,"Jul 28, 2025","Aug 11, 2025",2081/2082
NNADDF,NIC Asia Dynamic Deb...,0,5.55,5.55,"Aug 3, 2025","Aug 3, 2025",2081/2082
NICSF,NIC Asia Select Fund...,0,8.65,8.65,"Aug 3, 2025","Aug 14, 2025",2081/2082
NICBF,NIC Asia Balanced Fu...,0,9.90,9.90,"Aug 3, 2025","Aug 14, 2025",2081/2082
NICFC,NIC Asia Flexi CAP F...,0,10.10,10.10,"Aug 3, 2025","Aug 14, 2025",2081/2082
NNMBSBF,NMB Saral Bachat Fun...,0,4.27,4.27,"Aug 1, 2025","Jul 31, 2025",2081/2082
GSY,Garima Samriddhi Yoj...,0,5.10,5.10,"Aug 1, 2025","Aug 12, 2025",2081/2082
KKSLY,Kumari Sunaulo Lagan...,0,8.88,8.88,"Jul 30, 2025","Jul 29, 2025",2081/2082
NNLICL,National Life Insura...,5,10.00,15.00,"May 14, 2025","Jun 5, 2025",2080/2081
NNLG,NLG Insurance Compan...,2.5,0.13,2.63,"May 11, 2025","Jun 5, 2025",2080/2081
RRNLI,Reliable Nepal Life ...,12,0.63,12.63,"May 7, 2025","Jun 9, 2025",2080/2081
SSLK,Shubha Laxmi Kosh,0,16.00,16.00,"Jul 28, 2025","Jul 29, 2025",2081/2082
SBCF,Sunrise Bluechip Fun...,0,19.00,19.00,"Jul 28, 2025","Aug 11, 2025",2081/2082
PRIN,Prabhu Insurance Ltd...,18,0.95,18.95,"Jun 23, 2025","Jul 18, 2025",2080/2081
UAIL,United Ajod Insuranc...,10,0.53,10.53,"Jun 19, 2025","Jul 3, 2025",2080/2081
ALICL,Asian Life Insurance...,5.1,0.27,5.37,"Jun 9, 2025","Jul 4, 2025",2080/2081
HLI,Himalayan Life Insur...,0,8.00,8.00,"May 28, 2025","Jun 11, 2025",2080/2081
LICN,Life Insurance Corpo...,10,0.53,10.53,"May 15, 2025","Jun 30, 2025",2080/2081
SSLBBL,Swarojgar Laghu Bitt...,13.5,0.71,14.21,"Mar 6, 2025","Apr 24, 2025",2080/2081
SSRLI,Sanima Reliance Life...,1.2489,8.00,9.25,"Feb 25, 2025","Mar 10, 2025",2080/2081
CLI,Citizen Life Insuran...,26.9841,1.42,28.40,"Feb 21, 2025","Mar 12, 2025",2080/2081
HRL,Himalayan Reinsuranc...,4.5,0.24,4.74,"May 6, 2025","May 25, 2025",2080/2081
PMLI,Prabhu Mahalaxmi Lif...,8,0.42,8.42,"May 2, 2025","May 30, 2025",2080/2081
NIL,Neco Insurance Limit...,7,0.37,7.37,"Apr 24, 2025","May 13, 2025",2080/2081
SALICO,Sagarmatha Lumbini I...,0,15.00,15.00,"Apr 11, 2025","Apr 30, 2025",2080/2081
NNOCL,Nepal Oil Corporatio...,0,10.00,10.00,"Mar 21, 2025",Not Announced,2080/2081
SMFBS,Swabhimaan Laghubitt...,5,0.26,5.26,"Mar 21, 2025","Apr 24, 2025",2080/2081
NICL,Nepal Insurance Co. ...,15,0.79,15.79,"Mar 9, 2025","Mar 20, 2025",2080/2081
HHLI,Himalayan Life Insur...,14,0.00,14.00,"Jan 19, 2025","Feb 7, 2025",2079/2080
NLIC,Nepal Life Insurance...,10,11.05,21.05,"Jan 12, 2025","Jan 23, 2025",2080/2081
STC,Salt Trading Corpora...,0,10.00,10.00,"Jan 12, 2025","Mar 14, 2025",2080/2081
HEI,Himalayan Everest In...,0,8.75,8.75,"Feb 12, 2025","Feb 27, 2025",2080/2081
ILI,IME Life Insurance C...,0,21.05,21.05,"Feb 12, 2025","Feb 27, 2025",2080/2081
BBC,Bishal Bazar Company...,0,14.00,14.00,"Feb 11, 2025","Feb 21, 2025",2075/2076
SGIC,Sanima GIC Insurance...,7.5,0.39,7.89,"Feb 7, 2025","Mar 21, 2025",2080/2081
IGI,IGI Prudential insur...,0,9.74,9.74,"Feb 6, 2025","Feb 24, 2025",2080/2081
SPIL,Siddhartha Premier I...,0,30.00,30.00,"Feb 4, 2025","Feb 14, 2025",2080/2081
CCDS,CDS & Clearing Limit...,0,100.00,100.00,"Dec 22, 2024",Not Announced,2080/2081
NNTC,Nepal Doorsanchar Co...,0,30.00,30.00,"Dec 22, 2024","Jan 2, 2025",2080/2081
NNCHL,Nepal Clearing House...,19,1.00,20.00,"Dec 22, 2024",Not Announced,2080/2081
CIT,Citizen Investment T...,7,6.00,13.00,"Dec 22, 2024","Jan 6, 2025",2080/2081
SMATA,Samata Gharelu Laghu...,5,0.26,5.26,"Jan 9, 2025","Feb 6, 2025",2080/2081
HHIFL,Himalayan Infrastruc...,5,5.53,10.53,"Jan 9, 2025",Not Announced,2080/2081
KKHSL,Kailash Helicopter S...,0,20.00,20.00,"Dec 23, 2024",Not Announced,2080/2081
KPCL,Kalika power Company...,7,0.37,7.37,"Dec 23, 2024","Jan 3, 2025",2080/2081
ANLB,Aatmanirbhar Laghubi...,14.25,0.75,15.00,"Dec 23, 2024","Dec 31, 2024",2080/2081
NNEPSE,Nepal Stock Exchange...,0,75.00,75.00,"Dec 23, 2024",Not Announced,2080/2081
