Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
ALICL,Asian Life Insurance...,27.0,1.42,28.42,"Jun 10, 2012","Jun 20, 2012",2067/2068
ANLB,Aatmanirbhar Laghubi...,14.25,0.75,15.0,"Dec 23, 2024","Dec 31, 2024",2080/2081
ANLB,Aatmanirbhar Laghubi...,10.0,5.0,15.0,"Dec 11, 2023","Jan 1, 2024",2079/2080
API,Api Power Company Lt...,5.0,0.26,5.26,"Oct 16, 2024","Oct 18, 2024",2080/2081
API,Api Power Company Li...,7.5,0.39,7.89,"Jan 6, 2023","Feb 16, 2023",2078/2079
API,Api Power Company Lt...,10.5,0.55,11.05,"Aug 24, 2021","Sep 3, 2021",2077/2078
API,Api Power Company Lt...,9.0,0.0,9.0,"Nov 6, 2020","Nov 16, 2020",2076/2077
API,Api Power Company Lt...,5.0,0.0,5.0,"Dec 20, 2018","Dec 30, 2018",2074/2075
API,Api Power Company Lt...,5.0,0.0,5.0,"Dec 20, 2018","Dec 30, 2018",2074/2075
API,Api Power Company Lt...,8.0,0.0,8.0,"Dec 26, 2017","Jan 5, 2018",2073/2074
API,Api Power Company Lt...,5.0,0.0,5.0,"Aug 7, 2016","Aug 17, 2016",2072/2073
BARUN,Barun Hydropower Co....,4.75,0.25,5.0,"Nov 20, 2025","Nov 30, 2025",2081/2082
BARUN,Barun Hydropower Co....,4.75,0.25,5.0,"Nov 20, 2025","Nov 30, 2025",2081/2082
BARUN,Barun Hydropower Co....,5.0,0.26,5.26,"Dec 21, 2020","Dec 31, 2020",2076/2077
BBARUN,Barun Hydropower Co....,4.75,0.25,5.00,"Nov 20, 2025","Nov 30, 2025",2081/2082
BBC,Bishal Bazar Company...,0.0,14.0,14.0,"Feb 11, 2025","Feb 21, 2025",2075/2076
BBFIINL,Banking Finance and ...,0.0,14.74,14.74,"Sep 8, 2024",Not Announced,2080/2081
BBNL,Bottlers Nepal (Bala...,0.0,20.0,20.0,"Dec 25, 2022","Jan 4, 2023",2078/2079
BBNT,Bottlers Nepal (Tera...,0.0,50.0,50.0,"Nov 21, 2024","Jan 3, 2025",2080/2081
BFC,Best Finance Company...,20.0,0.0,20.0,"Jan 31, 2012","Feb 10, 2012",2067/2068
BGWT,Bhagawati Hydropower...,14,6.00,20.00,"Sep 28, 2025","Oct 7, 2025",2081/2082
BGWT,Bhagawati Hydropower...,14.0,6.0,20.0,"Sep 28, 2025","Oct 7, 2025",2081/2082
BGWT,Bhagawati Hydropower...,4.0,10.74,14.74,"Sep 8, 2024","Sep 18, 2024",2080/2081
BHDC,Bindhyabasini Hydrop...,8.0,0.0,8.0,"Oct 30, 2024","Nov 13, 2024",2080/2081
BHDC,Bindhyabasini Hydrop...,0.0,5.26,5.26,"Dec 20, 2023","Jan 2, 2024",2079/2080
BHDC,Bindhyabasini Hydrop...,5.0,0.03,5.03,"Dec 16, 2022","Dec 28, 2022",2078/2079
BNL,Bottlers Nepal (Bala...,0.0,20.0,20.0,"Sep 7, 2018","Sep 17, 2018",2074/2075
BNL,Bottlers Nepal (Bala...,0.0,60.0,60.0,"Nov 16, 2013","Nov 26, 2013",2069/2070
BNL,Bottlers Nepal (Bala...,0.0,70.0,70.0,"Nov 19, 2012","Nov 29, 2012",2068/2069
BNL,Bottlers Nepal (Bala...,0.0,55.0,55.0,"Nov 19, 2011","Nov 29, 2011",2067/2068
BNT,Bottlers Nepal (Tera...,0.0,60.0,60.0,"Nov 9, 2023","Jan 5, 2024",2079/2080
BNT,Bottlers Nepal (Tera...,0.0,60.0,60.0,"Dec 25, 2022","Jan 4, 2023",2078/2079
BNT,Bottlers Nepal (Tera...,0.0,40.0,40.0,"Sep 8, 2018","Sep 18, 2018",2074/2075
BNT,Bottlers Nepal (Tera...,0.0,25.0,25.0,"Nov 17, 2017","Nov 27, 2017",2073/2074
BNT,Bottlers Nepal (Tera...,0.0,25.0,25.0,"Dec 18, 2015","Dec 28, 2015",2071/2072
BNT,Bottlers Nepal (Tera...,0.0,85.0,85.0,"Nov 19, 2012","Nov 29, 2012",2068/2069
BNT,Bottlers Nepal (Tera...,0.0,55.0,55.0,"Nov 19, 2011","Nov 29, 2011",2067/2068
BPCL,Butwal Power Company...,0.0,5.0,5.0,"Dec 19, 2024","Jan 2, 2025",2080/2081
BPCL,Butwal Power Company...,0.0,5.0,5.0,"Dec 17, 2023","Jan 4, 2024",2079/2080
BPCL,Butwal Power Company...,0.0,5.0,5.0,"Dec 17, 2023","Jan 4, 2024",2079/2080
BPCL,Butwal Power Company...,5.0,7.5,12.5,"Dec 23, 2022","Jan 2, 2023",2078/2079
BPCL,Butwal Power Company...,10.0,10.0,20.0,"Dec 16, 2021","Dec 26, 2021",2077/2078
BPCL,Butwal Power Company...,10.0,15.0,25.0,"Dec 22, 2020","Jan 1, 2021",2076/2077
BPCL,Butwal Power Company...,10.0,18.0,28.0,"Dec 15, 2019","Dec 25, 2019",2075/2076
BPCL,Butwal Power Company...,0.0,20.0,20.0,"Apr 30, 2018","May 10, 2018",2073/2074
BPCL,Butwal Power Company...,7.0,20.0,27.0,"Nov 25, 2016","Dec 5, 2016",2072/2073
BPCL,Butwal Power Company...,0.0,20.0,20.0,"Nov 22, 2015","Dec 2, 2015",2071/2072
BPCL,Butwal Power Company...,0.0,18.0,18.0,"Jan 26, 2014","Feb 5, 2014",2069/2070
BPCL,Butwal Power Company...,0.0,25.0,25.0,"Dec 13, 2012","Dec 23, 2012",2068/2069
BPCL,Butwal Power Company...,0.0,25.0,25.0,"Dec 24, 2011","Jan 3, 2012",2067/2068
C30MF,Citizens Super 30 Mu...,0,12.75,12.75,"Aug 18, 2025","Aug 29, 2025",2081/2082
C30MF,Citizens Super 30 Mu...,0.0,10.0,10.0,"Sep 29, 2024","Oct 9, 2024",2080/2081
CBBL,Chhimek Laghubitta B...,5.0,10.0,15.0,"Dec 12, 2023","Jan 2, 2024",2079/2080
CBBL,Chhimek Laghubitta B...,22.0,3.26,25.26,"Jan 12, 2023","Mar 9, 2023",2078/2079
CBBL,Chhimek Laghubitta B...,27.0,3.0,30.0,"Dec 12, 2021","Dec 22, 2021",2077/2078
CBBL,Chhimek Laghubitta B...,22.0,7.0,29.0,"Dec 20, 2020","Dec 30, 2020",2076/2077
CBBL,Chhimek Laghubitta B...,27.11,17.21,44.32,"Nov 22, 2019","Dec 2, 2019",2075/2076
CBBL,Chhimek Laghubitta B...,18.0,22.0,40.0,"Apr 19, 2019","Apr 29, 2019",2074/2075
CBBL,Chhimek Laghubitta B...,19.89,25.11,45.0,"Oct 13, 2017","Oct 23, 2017",2073/2074
CBBL,Chhimek Laghubitta B...,40.0,12.7,52.7,"Dec 1, 2016","Dec 11, 2016",2072/2073
CBBL,Chhimek Laghubitta B...,40.0,12.7,52.7,"Dec 1, 2015","Dec 11, 2015",2071/2072
CBBL,Chhimek Laghubitta B...,35.0,10.0,45.0,"Nov 11, 2014","Nov 21, 2014",2070/2071
CBBL,Chhimek Laghubitta B...,33.23,15.0,48.23,"Nov 28, 2013","Dec 8, 2013",2069/2070
CBBL,Chhimek Laghubitta B...,25.0,17.1,42.1,"Nov 15, 2012","Nov 25, 2012",2068/2069
CBBL,Chhimek Laghubitta B...,0.0,25.0,25.0,"Oct 31, 2011","Nov 10, 2011",2067/2068
CBL,Civil Bank Limited,5.0,0.26,5.26,"Dec 20, 2022",Not Announced,2078/2079
CBL,Civil Bank Limited,5.0,0.26,5.26,"Dec 20, 2022",Not Announced,2078/2079
CCARE,Care Ratings Nepal L...,0.0,60.0,60.0,"Oct 23, 2024",Not Announced,2080/2081
CCARE,Care Ratings Nepal L...,0.0,80.0,80.0,"Nov 10, 2023",Not Announced,2079/2080
CCBBL,Chhimek Laghubitta B...,8.0,7.0,15.0,"Dec 5, 2024","Dec 31, 2024",2080/2081
CCBBL,Chhimek Laghubitta B...,22.0,3.26,25.26,"Jan 12, 2023","Mar 9, 2023",2078/2079
CCBIL,Citizens Capital Ltd...,0.0,15.5,15.5,"Aug 11, 2024","Aug 22, 2024",2080/2081
CCBIL,Citizens Capital Ltd...,0.0,12.0,12.0,"Sep 14, 2023",Not Announced,2079/2080
CCBILSL,Citizens Share Broke...,0,15.79,15.79,"Aug 7, 2025","Aug 19, 2025",2081/2082
CCBILSL,CBIL Securities Limi...,0.0,5.26,5.26,"Sep 1, 2024","Sep 10, 2024",2080/2081
CCBL,Century Commercial B...,4.75,0.25,5.0,"Dec 1, 2022",Not Announced,2078/2079
CCCAIL,Chartered Capital an...,5.0,0.26,5.26,"Oct 6, 2024",Not Announced,2081/2082
CCCAIL,Chartered Capital an...,5.0,0.26,5.26,"Oct 6, 2024",Not Announced,2080/2081
CCCAIL,Chartered Capital an...,4.0,0.21,4.21,"Oct 20, 2023",Not Announced,2079/2080
CCDS,CDS & Clearing Limit...,0.0,100.0,100.0,"Dec 22, 2024",Not Announced,2080/2081
CCDS,CDS & Clearing Limit...,0.0,100.0,100.0,"Dec 22, 2024",Not Announced,2080/2081
CCDS,CDS & Clearing Limit...,0.0,100.0,100.0,"Dec 22, 2023",Not Announced,2079/2080
CCEL,Century Energy Limit...,25,10.00,35.00,"Oct 9, 2025",Not Announced,2081/2082
CCEL,Century Energy Limit...,25.0,10.0,35.0,"Oct 9, 2025",Not Announced,2081/2082
CCEL,Century Energy Limit...,8.5,0.0,8.5,"Dec 18, 2024",Not Announced,2080/2081
CCEL,Century Energy Limit...,10.0,0.0,10.0,"Dec 5, 2023",Not Announced,2079/2080
CCFCL,Central Finance Co. ...,0.0,7.0,7.0,"Feb 25, 2019","Mar 7, 2019",2074/2075
CCHCL,Chilime Hydropower C...,20.0,5.0,25.0,"Nov 3, 2019","Nov 13, 2019",2075/2076
CCHDC,CEDB Hydropower Deve...,11.0,0.0,11.0,"Sep 15, 2024","Sep 23, 2024",2080/2081
CCIT,Citizen Investment T...,30.0,1.58,31.58,"Jul 31, 2022","Aug 10, 2022",2077/2078
CCLI,Citizen Life Insuran...,5.0,0.26,5.26,"Jan 2, 2024","Jan 14, 2024",2079/2080
CCMF2,CITIZENS MUTUAL FUND...,0.0,8.25,8.25,"Aug 18, 2025","Aug 29, 2025",2081/2082
CCZBIL,Citizens Bank Intern...,0.0,5.79,5.79,"Sep 17, 2023","Oct 2, 2023",2079/2080
CFCL,Central Finance Limi...,0.0,5.0,5.0,"Dec 21, 2022","Jan 1, 2023",2078/2079
CFCL,Central Finance Co. ...,7.7,3.3,11.0,"Dec 23, 2021","Jan 2, 2022",2077/2078
CFCL,Central Finance Co. ...,7.0,3.0,10.0,"Jan 15, 2021","Jan 25, 2021",2076/2077
CFCL,Central Finance Co. ...,8.77,0.0,8.77,"Oct 21, 2018","Oct 31, 2018",2073/2074
CFCL,Central Finance Co. ...,22.5,1.74,24.24,"Apr 1, 2016","Apr 11, 2016",2072/2073
CFCL,Central Finance Co. ...,33.0,1.74,34.74,"Dec 24, 2015","Jan 3, 2016",2071/2072
CFCL,Central Finance Co. ...,10.0,0.0,10.0,"Jun 23, 2014","Jul 3, 2014",2069/2070
CHCL,Chilime Hydropower C...,10.0,2.0,12.0,"Dec 17, 2024","Dec 31, 2024",2080/2081
CHCL,Chilime Hydropower C...,10.0,5.0,15.0,"Dec 10, 2023","Dec 24, 2023",2079/2080
CHCL,Chilime Hydro power ...,7.5,7.5,15.0,"Dec 7, 2022","Dec 18, 2022",2078/2079
CHCL,Chilime Hydropower C...,7.5,7.5,15.0,"Dec 20, 2021","Dec 30, 2021",2077/2078
CHCL,Chilime Hydropower C...,10.0,10.0,20.0,"Dec 4, 2020","Dec 14, 2020",2076/2077
CHCL,Chilime Hydropower C...,20.0,5.0,25.0,"Dec 24, 2018","Jan 3, 2019",2074/2075
CHCL,Chilime Hydropower C...,15.0,10.0,25.0,"Oct 13, 2017","Oct 23, 2017",2073/2074
CHCL,Chilime Hydropower C...,10.0,10.0,20.0,"Dec 13, 2016","Dec 23, 2016",2072/2073
CHCL,Chilime Hydropower C...,15.0,12.0,27.0,"Dec 8, 2015","Dec 18, 2015",2071/2072
CHCL,Chilime Hydropower C...,20.0,15.0,35.0,"Sep 13, 2014","Sep 23, 2014",2070/2071
CHCL,Chilime Hydropower C...,30.0,10.0,40.0,"Sep 3, 2013","Sep 13, 2013",2069/2070
CHCL,Chilime Hydropower C...,30.0,20.0,50.0,"Sep 15, 2012","Sep 25, 2012",2068/2069
CHCL,Chilime Hydropower C...,40.0,30.0,70.0,"Dec 17, 2011","Dec 27, 2011",2067/2068
CHDC,CEDB Hydropower Deve...,11.0,0.58,11.58,"Apr 23, 2024","May 1, 2024",2078/2079
CHL,Chhyangdi Hydropower...,5.0,0.26,5.26,"Dec 22, 2020","Jan 1, 2021",2076/2077
CHL,Chhyangdi Hydropower...,5.0,0.26,5.26,"Dec 21, 2019","Dec 31, 2019",2075/2076
CIT,Citizen Investment T...,7.0,6.0,13.0,"Dec 22, 2024","Jan 6, 2025",2080/2081
CIT,Citizen Investment T...,14.0,0.74,14.74,"Jun 14, 2024","Jul 4, 2024",2079/2080
CIT,Citizen Investment T...,25.0,1.32,26.32,"May 14, 2023","Jul 4, 2023",2078/2079
CIT,Citizen Investment T...,22.0,1.16,23.16,"Jun 14, 2020","Jun 24, 2020",2075/2076
CIT,Citizen Investment T...,22.0,1.16,23.16,"Aug 26, 2019","Sep 5, 2019",2074/2075
CIT,Citizen Investment T...,22.06,1.16,23.22,"Nov 22, 2018","Dec 2, 2018",2073/2074
